Testing SD card write operations: 2022-07-01 09:08:52
2022-07-01 09:09:39: {'ssid':'C63', 'bssid':'467555e7b137558b26be6d5251563d5c6e1706024d042a23fff82e45', 'sec':3, 'channel':11, 'rssi':-72}
2022-07-01 09:09:39: {'ssid':'C62', 'bssid':'ef2f5104b5fa4057310b85e52fe682c274c80a5f91a774adc9d1663c', 'sec':3, 'channel':1, 'rssi':-81}
2022-07-01 09:09:41: {'ssid':'C60', 'bssid':'ad80660099669568da21ae1d65cf46f73f683eb8e6d5bb1315b2c849', 'sec':3, 'channel':6, 'rssi':-58}
2022-07-01 09:09:41: {'ssid':'C61', 'bssid':'679575f49fa39a5555da267db3efcd97a63a1bb9d806c6e4a82709c0', 'sec':3, 'channel':6, 'rssi':-58}
2022-07-01 09:09:41: {'ssid':'C64', 'bssid':'f9ab104d04798b781c35b98d3a9cdedfe60839423ad8e33c325c92e5', 'sec':3, 'channel':6, 'rssi':-69}
2022-07-01 09:09:41: {'ssid':'C60', 'bssid':'81949f79504ce2e98d589654c4efa2d364d08d66cae7b0ec71ea71d0', 'sec':3, 'channel':6, 'rssi':-72}
2022-07-01 09:09:41: {'ssid':'C63', 'bssid':'467555e7b137558b26be6d5251563d5c6e1706024d042a23fff82e45', 'sec':3, 'channel':11, 'rssi':-72}
2022-07-01 09:09:41: {'ssid':'C62', 'bssid':'ef2f5104b5fa4057310b85e52fe682c274c80a5f91a774adc9d1663c', 'sec':3, 'channel':1, 'rssi':-80}
2022-07-01 09:09:43: {'ssid':'C60', 'bssid':'ad80660099669568da21ae1d65cf46f73f683eb8e6d5bb1315b2c849', 'sec':3, 'channel':6, 'rssi':-56}
2022-07-01 09:09:43: {'ssid':'C61', 'bssid':'679575f49fa39a5555da267db3efcd97a63a1bb9d806c6e4a82709c0', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-01 09:09:43: {'ssid':'C64', 'bssid':'f9ab104d04798b781c35b98d3a9cdedfe60839423ad8e33c325c92e5', 'sec':3, 'channel':6, 'rssi':-71}
2022-07-01 09:09:43: {'ssid':'C63', 'bssid':'467555e7b137558b26be6d5251563d5c6e1706024d042a23fff82e45', 'sec':3, 'channel':11, 'rssi':-73}
2022-07-01 09:09:43: {'ssid':'C60', 'bssid':'81949f79504ce2e98d589654c4efa2d364d08d66cae7b0ec71ea71d0', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-01 09:09:43: {'ssid':'C62', 'bssid':'ef2f5104b5fa4057310b85e52fe682c274c80a5f91a774adc9d1663c', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-01 09:09:45: {'ssid':'C60', 'bssid':'ad80660099669568da21ae1d65cf46f73f683eb8e6d5bb1315b2c849', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-01 09:09:45: {'ssid':'C61', 'bssid':'679575f49fa39a5555da267db3efcd97a63a1bb9d806c6e4a82709c0', 'sec':3, 'channel':6, 'rssi':-56}
2022-07-01 09:09:45: {'ssid':'C63', 'bssid':'467555e7b137558b26be6d5251563d5c6e1706024d042a23fff82e45', 'sec':3, 'channel':11, 'rssi':-71}
2022-07-01 09:09:45: {'ssid':'C64', 'bssid':'f9ab104d04798b781c35b98d3a9cdedfe60839423ad8e33c325c92e5', 'sec':3, 'channel':6, 'rssi':-73}
2022-07-01 09:09:45: {'ssid':'C60', 'bssid':'81949f79504ce2e98d589654c4efa2d364d08d66cae7b0ec71ea71d0', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-01 09:09:45: {'ssid':'C62', 'bssid':'ef2f5104b5fa4057310b85e52fe682c274c80a5f91a774adc9d1663c', 'sec':3, 'channel':1, 'rssi':-84}
2022-07-01 09:09:47: {'ssid':'C60', 'bssid':'ad80660099669568da21ae1d65cf46f73f683eb8e6d5bb1315b2c849', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-01 09:09:47: {'ssid':'C61', 'bssid':'679575f49fa39a5555da267db3efcd97a63a1bb9d806c6e4a82709c0', 'sec':3, 'channel':6, 'rssi':-60}
2022-07-01 09:09:47: {'ssid':'C64', 'bssid':'f9ab104d04798b781c35b98d3a9cdedfe60839423ad8e33c325c92e5', 'sec':3, 'channel':6, 'rssi':-69}
2022-07-01 09:09:47: {'ssid':'C63', 'bssid':'467555e7b137558b26be6d5251563d5c6e1706024d042a23fff82e45', 'sec':3, 'channel':11, 'rssi':-71}
2022-07-01 09:09:47: {'ssid':'C60', 'bssid':'81949f79504ce2e98d589654c4efa2d364d08d66cae7b0ec71ea71d0', 'sec':3, 'channel':6, 'rssi':-73}
2022-07-01 09:09:47: {'ssid':'C62', 'bssid':'ef2f5104b5fa4057310b85e52fe682c274c80a5f91a774adc9d1663c', 'sec':3, 'channel':1, 'rssi':-84}
2022-07-01 09:09:49: {'ssid':'C61', 'bssid':'679575f49fa39a5555da267db3efcd97a63a1bb9d806c6e4a82709c0', 'sec':3, 'channel':6, 'rssi':-63}
2022-07-01 09:09:49: {'ssid':'C63', 'bssid':'467555e7b137558b26be6d5251563d5c6e1706024d042a23fff82e45', 'sec':3, 'channel':11, 'rssi':-74}
2022-07-01 09:09:49: {'ssid':'C62', 'bssid':'ef2f5104b5fa4057310b85e52fe682c274c80a5f91a774adc9d1663c', 'sec':3, 'channel':1, 'rssi':-80}
2022-07-01 09:09:51: {'ssid':'C60', 'bssid':'ad80660099669568da21ae1d65cf46f73f683eb8e6d5bb1315b2c849', 'sec':3, 'channel':6, 'rssi':-58}
2022-07-01 09:09:51: {'ssid':'C61', 'bssid':'679575f49fa39a5555da267db3efcd97a63a1bb9d806c6e4a82709c0', 'sec':3, 'channel':6, 'rssi':-60}
2022-07-01 09:09:51: {'ssid':'C64', 'bssid':'f9ab104d04798b781c35b98d3a9cdedfe60839423ad8e33c325c92e5', 'sec':3, 'channel':6, 'rssi':-71}
